transaction_id,user_id,amount,currency,merchant_name,merchant_category,user_country,ip_country,device,timestamp,avg_spend,event_timestamp,flag_velocity,flag_spike,flag_geography,is_fraud_detected,fraud_reason
ef807945-43fc-4d53-b424-21c14e4f68c9,USR-0067,30.73,USD,Netflix,retail,US,US,desktop,2026-03-14 23:49:49.386365+00:00,42.6,2026-03-14 23:49:49.386365+00:00,False,False,False,False,
59619aad-04e6-487a-8290-cbb6d7fdd940,USR-0061,402.68,USD,Uber,retail,US,US,tablet,2026-03-15 00:49:49.386365+00:00,373.91,2026-03-15 00:49:49.386365+00:00,False,False,False,False,
21c4d6ce-6ed9-41a0-b1eb-37cd77270ed7,USR-0074,388.25,USD,Walmart,retail,US,US,mobile,2026-03-15 00:36:49.386365+00:00,305.69,2026-03-15 00:36:49.386365+00:00,False,False,False,False,
b897715e-0073-48cd-a887-c5d643141f7d,USR-0052,294.75,USD,Marriott,retail,CA,CA,mobile,2026-03-15 00:48:49.386365+00:00,255.37,2026-03-15 00:48:49.386365+00:00,False,False,False,False,
3af2aca5-85d9-49c1-bb50-074a2db4d849,USR-0025,407.39,USD,Shell Gas,retail,US,US,desktop,2026-03-15 00:20:49.386365+00:00,396.05,2026-03-15 00:20:49.386365+00:00,False,False,False,False,
47e241eb-f5d5-4f3b-9843-e2ae1ebd4409,USR-0013,233.34,USD,Shell Gas,retail,CA,CA,tablet,2026-03-15 00:17:49.386365+00:00,311.59,2026-03-15 00:17:49.386365+00:00,False,False,False,False,
4b478808-7f26-4089-bfdc-e067c4158207,USR-0032,490.44,USD,Uber,retail,US,US,desktop,2026-03-14 23:15:49.386365+00:00,339.32,2026-03-14 23:15:49.386365+00:00,False,False,False,False,
8857a77a-0a39-40c3-a578-024902e37231,USR-0037,306.08,USD,Target,retail,US,US,mobile,2026-03-15 00:51:49.386365+00:00,243.42,2026-03-15 00:51:49.386365+00:00,False,False,False,False,
3c86c74c-6daa-47ca-9856-f374758608f9,USR-0098,255.81,USD,Delta Airlines,retail,US,US,mobile,2026-03-15 00:38:49.386365+00:00,281.74,2026-03-15 00:38:49.386365+00:00,True,False,False,True,velocity
8727a025-c24a-47a2-bb3d-857f46189b04,USR-0047,44.24,USD,Netflix,retail,US,US,desktop,2026-03-14 23:13:49.386365+00:00,55.24,2026-03-14 23:13:49.386365+00:00,False,False,False,False,
7e139972-746f-48ed-933a-f7b2e3caca37,USR-0100,104.41,USD,Uber,retail,GB,GB,desktop,2026-03-15 00:52:49.386365+00:00,102.58,2026-03-15 00:52:49.386365+00:00,False,False,False,False,
42ab264c-1795-4319-bb88-23cc061be864,USR-0068,418.18,USD,Uber,retail,US,US,mobile,2026-03-14 23:28:49.386365+00:00,285.4,2026-03-14 23:28:49.386365+00:00,False,False,False,False,
c971a24d-9235-480e-8f6a-f0cb4722d47c,USR-0060,206.3,USD,Marriott,retail,US,US,mobile,2026-03-15 00:10:49.386365+00:00,168.35,2026-03-15 00:10:49.386365+00:00,False,False,False,False,
aaa16a36-fd80-49bf-9d7d-a333a0ad7dbc,USR-0047,72.17,USD,Walmart,retail,US,US,tablet,2026-03-14 23:42:49.386365+00:00,55.24,2026-03-14 23:42:49.386365+00:00,False,False,False,False,
d17b4f31-f436-48b8-97cd-dc50d177fdb7,USR-0058,38.48,USD,Apple Store,retail,US,US,tablet,2026-03-14 23:47:49.386365+00:00,38.56,2026-03-14 23:47:49.386365+00:00,False,False,False,False,
1e7acabf-1dcc-488e-b564-73434c8be4a2,USR-0100,56.25,USD,Shell Gas,retail,CA,CA,mobile,2026-03-14 23:06:49.386365+00:00,102.58,2026-03-14 23:06:49.386365+00:00,False,False,False,False,
3cc62892-7a81-4e91-9601-94189ea3843e,USR-0050,422.52,USD,Uber,retail,US,US,mobile,2026-03-14 23:49:49.386365+00:00,357.84,2026-03-14 23:49:49.386365+00:00,False,False,False,False,
f5595cce-fe5c-4725-820f-d4a6d1ba85af,USR-0006,163.05,USD,Marriott,retail,US,US,mobile,2026-03-15 00:02:49.386365+00:00,170.8,2026-03-15 00:02:49.386365+00:00,False,False,False,False,
9f5c0c8f-8aee-47dd-b997-e5393dfc1af3,USR-0001,179.12,USD,Walmart,retail,US,US,mobile,2026-03-15 00:34:49.386365+00:00,274.71,2026-03-15 00:34:49.386365+00:00,False,False,False,False,
9e0fabf3-2f07-4ee0-a64e-8ddd50470834,USR-0059,119.11,USD,Marriott,retail,GB,GB,mobile,2026-03-14 23:22:49.386365+00:00,84.47,2026-03-14 23:22:49.386365+00:00,False,False,False,False,
9b7ee518-d789-45c8-ab7d-42e036c62f30,USR-0035,54.23,USD,Shell Gas,retail,CA,CA,mobile,2026-03-15 00:56:49.386365+00:00,77.15,2026-03-15 00:56:49.386365+00:00,False,False,False,False,
8b712c95-f207-45ad-bc68-2d69ae59dd24,USR-0087,206.66,USD,Amazon,retail,US,US,desktop,2026-03-14 23:55:49.386365+00:00,159.24,2026-03-14 23:55:49.386365+00:00,False,False,False,False,
10691141-d2c7-470d-b5e1-f6c0eae2453d,USR-0091,100.67,USD,Apple Store,retail,US,US,desktop,2026-03-15 00:14:49.386365+00:00,89.38,2026-03-15 00:14:49.386365+00:00,False,False,False,False,
69de9b96-8224-4162-8f24-0d71c3d67831,USR-0093,321.48,USD,Apple Store,retail,GB,GB,desktop,2026-03-14 23:07:49.386365+00:00,319.17,2026-03-14 23:07:49.386365+00:00,False,False,False,False,
7eeb15de-6acb-493f-b6c4-f6783bc60b43,USR-0009,144.29,USD,McDonald's,retail,US,US,tablet,2026-03-15 00:45:49.386365+00:00,244.71,2026-03-15 00:45:49.386365+00:00,False,False,False,False,
d6198eb1-8c94-436f-a83a-2e4c08b350b0,USR-0078,191.3,USD,Shell Gas,retail,US,US,tablet,2026-03-15 00:07:49.386365+00:00,193.52,2026-03-15 00:07:49.386365+00:00,False,False,False,False,
