transaction_id,user_id,amount,currency,merchant_name,merchant_category,user_country,ip_country,device,timestamp,is_fraud,fraud_type,event_timestamp,ingestion_layer,country_mismatch,amount_bucket,event_date,event_hour
9ead4b56-28a0-40a4-b706-519955fc9b28,USR-0049,255.34,USD,Delta Airlines,retail,GB,GB,tablet,2026-03-15 00:35:52.326961+00:00,False,,2026-03-15 00:35:52.326961+00:00,silver,False,medium,2026-03-15,0
cb078ca3-7e1c-4981-b54a-8d138bdc9d1b,USR-0187,310.87,USD,Netflix,retail,CA,CA,desktop,2026-03-15 00:35:52.326981+00:00,False,,2026-03-15 00:35:52.326981+00:00,silver,False,medium,2026-03-15,0
1f3d4f73-c7a5-40f1-b699-5a9cb71edc19,USR-0193,5227.83,USD,McDonald's,retail,US,US,desktop,2026-03-15 00:35:52.326990+00:00,True,large_amount,2026-03-15 00:35:52.326990+00:00,silver,False,very_large,2026-03-15,0
0042d9de-4257-45f0-8f5e-302d5fbead6d,USR-0190,6.92,USD,Shell Gas,retail,US,US,mobile,2026-03-15 00:35:52.326996+00:00,True,rapid_fire,2026-03-15 00:35:52.326996+00:00,silver,False,micro,2026-03-15,0
00703dde-6a64-47fd-966f-527b844b18af,USR-0160,141.3,USD,Walmart,retail,US,US,desktop,2026-03-15 00:35:52.327002+00:00,False,,2026-03-15 00:35:52.327002+00:00,silver,False,medium,2026-03-15,0
49fda01e-e8ed-4a16-9df8-646b778a34ad,USR-0142,129.94,USD,Apple Store,retail,CA,CA,tablet,2026-03-15 00:35:52.327009+00:00,False,,2026-03-15 00:35:52.327009+00:00,silver,False,medium,2026-03-15,0
f77d1d45-c024-46cb-b32b-7cf006206e2d,USR-0183,94.19,USD,Amazon,retail,US,US,desktop,2026-03-15 00:35:52.327039+00:00,False,,2026-03-15 00:35:52.327039+00:00,silver,False,small,2026-03-15,0
104a9661-14e0-4fdc-83f7-a1cc43a1857e,USR-0028,109.11,USD,McDonald's,retail,US,US,tablet,2026-03-15 00:35:52.327043+00:00,False,,2026-03-15 00:35:52.327043+00:00,silver,False,medium,2026-03-15,0
e1ce41f9-c804-4f3f-8ebb-bb53d407b787,USR-0192,118.52,USD,McDonald's,retail,US,US,tablet,2026-03-15 00:35:52.327047+00:00,False,,2026-03-15 00:35:52.327047+00:00,silver,False,medium,2026-03-15,0
208a1303-6fe5-4cea-adae-4f934cf9645b,USR-0191,106.48,USD,Netflix,retail,CA,CA,desktop,2026-03-15 00:35:52.327051+00:00,False,,2026-03-15 00:35:52.327051+00:00,silver,False,medium,2026-03-15,0
e00ca451-c1ca-40eb-91cf-8147eebb75b4,USR-0135,341.59,USD,Amazon,retail,US,US,tablet,2026-03-15 00:35:52.327056+00:00,False,,2026-03-15 00:35:52.327056+00:00,silver,False,medium,2026-03-15,0
a86226fa-4338-48e7-a36f-b5426a6d2d0f,USR-0038,486.5,USD,Apple Store,retail,US,US,desktop,2026-03-15 00:35:52.327060+00:00,False,,2026-03-15 00:35:52.327060+00:00,silver,False,medium,2026-03-15,0
b2f73088-6a5f-4110-81b4-06ffd2233657,USR-0185,308.4,USD,Delta Airlines,retail,US,US,desktop,2026-03-15 00:35:52.327063+00:00,False,,2026-03-15 00:35:52.327063+00:00,silver,False,medium,2026-03-15,0
6bed1bb3-008f-453d-bb56-d8715d46e80a,USR-0131,334.27,USD,Amazon,retail,US,US,desktop,2026-03-15 00:35:52.327068+00:00,False,,2026-03-15 00:35:52.327068+00:00,silver,False,medium,2026-03-15,0
57ad1186-27ec-4d42-ae77-08ae049035ac,USR-0156,96.41,USD,Shell Gas,retail,US,US,desktop,2026-03-15 00:35:52.327071+00:00,False,,2026-03-15 00:35:52.327071+00:00,silver,False,small,2026-03-15,0
b4541bcf-0eaa-481d-8785-cde0b9a819f0,USR-0010,86.59,USD,Walmart,retail,CA,CA,tablet,2026-03-15 00:35:52.327074+00:00,False,,2026-03-15 00:35:52.327074+00:00,silver,False,small,2026-03-15,0
96710a5b-0635-482b-b848-bdc36a8c44b1,USR-0171,164.84,USD,Netflix,retail,US,US,desktop,2026-03-15 00:35:52.327079+00:00,False,,2026-03-15 00:35:52.327079+00:00,silver,False,medium,2026-03-15,0
eebea76c-5ca4-4996-9ffd-eaafd4f4dc67,USR-0142,359.11,USD,Delta Airlines,retail,US,US,mobile,2026-03-15 00:35:52.327083+00:00,False,,2026-03-15 00:35:52.327083+00:00,silver,False,medium,2026-03-15,0
01374787-3ffa-46a1-914a-f94ec40d2b85,USR-0186,577.47,USD,McDonald's,retail,US,US,tablet,2026-03-15 00:35:52.327086+00:00,False,,2026-03-15 00:35:52.327086+00:00,silver,False,large,2026-03-15,0
ffa19db7-49e9-4bd8-a09f-55ffb449eb41,USR-0047,551.17,USD,Delta Airlines,retail,GB,GB,tablet,2026-03-15 00:35:52.327090+00:00,False,,2026-03-15 00:35:52.327090+00:00,silver,False,large,2026-03-15,0
c1ec8d44-0e38-4380-938d-10aaa867d23a,USR-0039,188.14,USD,Apple Store,retail,US,US,desktop,2026-03-15 00:35:52.327094+00:00,False,,2026-03-15 00:35:52.327094+00:00,silver,False,medium,2026-03-15,0
f7d76ceb-f67b-469c-a0b1-80b9cf94b97a,USR-0043,100.06,USD,Walmart,retail,US,US,desktop,2026-03-15 00:35:52.327097+00:00,False,,2026-03-15 00:35:52.327097+00:00,silver,False,medium,2026-03-15,0
a634964a-32ed-4d77-a04b-f17e25bb67bd,USR-0149,314.76,USD,Uber,retail,US,US,tablet,2026-03-15 00:35:52.327102+00:00,False,,2026-03-15 00:35:52.327102+00:00,silver,False,medium,2026-03-15,0
e4a2ea5c-d2d8-46e5-a160-ea4ded422b15,USR-0066,93.77,USD,Uber,retail,CA,CA,tablet,2026-03-15 00:35:52.327106+00:00,False,,2026-03-15 00:35:52.327106+00:00,silver,False,small,2026-03-15,0
48be39bb-5258-4063-9082-77a02531139a,USR-0112,616.12,USD,Shell Gas,retail,US,US,tablet,2026-03-15 00:35:52.327110+00:00,False,,2026-03-15 00:35:52.327110+00:00,silver,False,large,2026-03-15,0
ab0d0661-cf21-45d7-8d1c-2cd0509ef3d2,USR-0145,288.9,USD,Delta Airlines,retail,US,US,mobile,2026-03-15 00:35:52.327114+00:00,False,,2026-03-15 00:35:52.327114+00:00,silver,False,medium,2026-03-15,0
3de953ef-ca2c-4e87-a7c5-d0f5973f9ac7,USR-0003,198.48,USD,Netflix,retail,US,US,mobile,2026-03-15 00:35:52.327119+00:00,False,,2026-03-15 00:35:52.327119+00:00,silver,False,medium,2026-03-15,0
ba98d2c1-45b4-4f28-b23c-370d032083cc,USR-0126,106.32,USD,Amazon,retail,CA,CA,tablet,2026-03-15 00:35:52.327123+00:00,False,,2026-03-15 00:35:52.327123+00:00,silver,False,medium,2026-03-15,0
1c139f85-dfce-4e91-a5fd-a0a6c1977865,USR-0089,202.62,USD,McDonald's,retail,US,US,tablet,2026-03-15 00:35:52.327127+00:00,False,,2026-03-15 00:35:52.327127+00:00,silver,False,medium,2026-03-15,0
c3e36dd3-79bc-48df-99ff-8ad54fe78130,USR-0015,47.4,USD,Netflix,retail,GB,GB,desktop,2026-03-15 00:35:52.327132+00:00,False,,2026-03-15 00:35:52.327132+00:00,silver,False,small,2026-03-15,0
c741d006-046a-4ff6-9f78-3f177a6a3c08,USR-0107,216.88,USD,Walmart,retail,GB,GB,desktop,2026-03-15 00:35:52.327137+00:00,False,,2026-03-15 00:35:52.327137+00:00,silver,False,medium,2026-03-15,0
9a0a107f-6751-4aa1-93c4-3aa4db69b629,USR-0100,175.25,USD,McDonald's,retail,US,US,mobile,2026-03-15 00:35:52.327140+00:00,False,,2026-03-15 00:35:52.327140+00:00,silver,False,medium,2026-03-15,0
